name,slug,shortName,position,jerseyNumber,userCount,Player_id,country,marketValueCurrency,dateOfBirthTimestamp,twoMinutePenalties,technicalFaults,yellowCards,gk6mSaves,gk6mShots,shotsTaken,goals,assists,goals7m,goals6m,shots6m,fastbreakGoals,fastbreakShots,steals,blockedShots,goals9m,shots9m,breakthroughGoals,breakthroughShots,fieldTranslations,wingGoals,pivotGoals,pivotShots,firstName,lastName,saves,gkShots,gk7mGoals,gk7mShots,gk7mSaves,gkPivotSaves,gkPivotShots,gk9mSaves,gk9mShots,gkBreakthroughSaves,gkBreakthroughShots,gkFastbreakGoals,gkFastbreakShots,gkWingSaves,gkWingShots,gkGoalsConceded,secondsPlayed,gkFastbreakSaves,shots7m,team_name,team_id,home_score,away_score,start_timestamp,matchid_lineup,MatchTeamGame,gkBackcourtShots,gkBackcourtSaves
Max Hejny,hejny-maximilian,M. Hejny,RB,64,3,1092847,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,994550400.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Timo Kastening,kastening-timo,T. Kastening,RW,73,101,806895,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,804038400.0,0,0,0,0,0,8,5,0,0,4,0,1,1,1,0,,,,,"{'nameTranslation': {'ar': 'كاستينغ, تيمو'}, 'shortNameTranslation': {'ar': 'ت. كاستينغ'}}",4.0,,,Timo,Kastening,,,,,,,,,,,,,,,,,,,1.0,Home,4007,31.0,23.0,2024-09-12 17:00:00,12575500,1-vfl-potsdam-mt-melsungen,,
Rogerio Moraes Ferreira,moraes-ferreira-rogerio,R. Moraes,P,13,36,806705,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil'}",EUR,758246400.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,,,,,,,3.0,3.0,Rogeiro,Moraes Ferreira,,,,,,,,,,,,,,,,,,,,Home,4007,31.0,23.0,2024-09-12 17:00:00,12575500,1-vfl-potsdam-mt-melsungen,,
Erik Balenciaga,balenciaga-azcue-erik,E. Balenciaga,CB,6,18,840959,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain'}",EUR,736992000.0,0,0,0,0,0,4,3,1,0,3,4,0,0,0,0,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,Home,4007,31.0,23.0,2024-09-12 17:00:00,12575500,1-vfl-potsdam-mt-melsungen,,
Nebojsa Simic,simic-nebojsa,N. Simić,G,16,61,894614,"{'alpha2': 'ME', 'alpha3': 'MNE', 'name': 'Montenegro'}",EUR,727401600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'nameTranslation': {'ar': 'سيميتش, نيبويشا'}, 'shortNameTranslation': {'ar': 'ن. سيميتش'}}",,,,,,2.0,7.0,,,0.0,,,,,,,,,,,5.0,906.0,,,Home,4007,31.0,23.0,2024-09-12 17:00:00,12575500,1-vfl-potsdam-mt-melsungen,,
Dimitri Ignatow,ignatow-dimitri,D. Ignatow,RW,11,4,876460,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,912384000.0,0,0,0,0,0,4,3,2,0,3,0,0,0,0,0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,Home,4007,31.0,23.0,2024-09-12 17:00:00,12575500,1-vfl-potsdam-mt-melsungen,,
Alexandre Cavalcanti,cavalcanti-alexandre,A. Cavalcanti,LB,24,63,959192,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal'}",EUR,851644800.0,0,1,1,0,0,5,3,0,0,2,3,0,0,0,0,1.0,2.0,2.0,2.0,"{'nameTranslation': {'ar': 'كافالكانتي, ألكسندر'}, 'shortNameTranslation': {'ar': 'أ. كافالكانتي'}}",,,,Alexandre,Cavalcanti,,,,,,,,,,,,,,,,,,,,Home,4007,31.0,23.0,2024-09-12 17:00:00,12575500,1-vfl-potsdam-mt-melsungen,,
Dainis Kristopans,kristopans-dainis,D. Krištopāns,RB,10,193,902836,"{'alpha2': 'LV', 'alpha3': 'LVA', 'name': 'Latvia'}",EUR,654393600.0,0,1,0,0,0,1,1,5,0,1,1,0,0,1,0,,,1.0,1.0,"{'nameTranslation': {'ar': 'كريستوبانس, داينيس'}, 'shortNameTranslation': {'ar': 'د. كريستوبانس'}}",,,,,,,,,,,,,,,,,,,,,,,,,Home,4007,31.0,23.0,2024-09-12 17:00:00,12575500,1-vfl-potsdam-mt-melsungen,,
Arnar Freyr Arnarsson,arnarsson-arnar-freyr,A. F. Arnarsson,P,21,21,902455,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland'}",EUR,826761600.0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,,,,,"{'nameTranslation': {'ar': 'فرير ارنارسون, أرنار'}, 'shortNameTranslation': {'ar': 'أ. ف. ارنارسون'}}",,2.0,2.0,Arnar Freyr,Arnarsson,,,,,,,,,,,,,,,,,,,,Home,4007,31.0,23.0,2024-09-12 17:00:00,12575500,1-vfl-potsdam-mt-melsungen,,
Adam Morawski,morawski-adam,A. Morawski,G,1,47,902823,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland'}",EUR,782352000.0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,,,,,"{'nameTranslation': {'ar': 'مورافسكي, أدم'}, 'shortNameTranslation': {'ar': 'أ. مورافسكي'}}",,,,Adam,Morawski,10.0,28.0,2.0,3.0,1.0,1.0,6.0,5.0,8.0,2.0,3.0,1.0,2.0,2.0,2.0,18.0,2634.0,1.0,,Home,4007,31.0,23.0,2024-09-12 17:00:00,12575500,1-vfl-potsdam-mt-melsungen,1.0,1.0
Adrian Sipos,sipos-adrian,A. Sipos,P,8,61,912347,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary'}",EUR,636854400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'nameTranslation': {'ar': 'سيبوس, أدريان'}, 'shortNameTranslation': {'ar': 'أ. سيبوس'}}",,,,Adrian,Sipos,,,,,,,,,,,,,,,,,,,,Home,4007,31.0,23.0,2024-09-12 17:00:00,12575500,1-vfl-potsdam-mt-melsungen,,
Nikolaj Enderleit,enderleit-nikolaj,N. Enderleit,RB,4,8,1006705,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark'}",EUR,866851200.0,0,1,0,0,0,6,5,4,0,4,5,0,0,0,0,1.0,1.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,Home,4007,31.0,23.0,2024-09-12 17:00:00,12575500,1-vfl-potsdam-mt-melsungen,,
